Nombre,Precio,Link
Zotac GAMING GeForce RTX 3080 Trinity LHR [ZT-A30800D-10PLHR],$1.239.743,https://www.solotodo.cl/products/118408-zotac-gaming-geforce-rtx-3080-trinity-lhr-zt-a30800d-10plhr
Gigabyte GeForce RTX 4070 Ti SUPER WINDFORCE OC 16G [GV-N407TSWF3OC-16GD],$1.260.990,https://www.solotodo.cl/products/232253-gigabyte-geforce-rtx-4070-ti-super-windforce-oc-16g-gv-n407tswf3oc-16gd
EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING [12G-P5-3967-KR],$1.299.900,https://www.solotodo.cl/products/113038-evga-geforce-rtx-3080-ti-ftw3-ultra-gaming-12g-p5-3967-kr
Gigabyte GeForce RTX­­ 4070 Ti GAMING OC 12G [GV-N407TGAMING OC-12GD],$1.299.990,https://www.solotodo.cl/products/168958-gigabyte-geforce-rtx-4070-ti-gaming-oc-12g-gv-n407tgaming-oc-12gd
EVGA GeForce RTX 3090 FTW3 ULTRA GAMING [24G-P5-3987-KR],$1.299.990,https://www.solotodo.cl/products/91288-evga-geforce-rtx-3090-ftw3-ultra-gaming-24g-p5-3987-kr
MSI GeForce RTX 5070 Ti 16G VENTUS 3X OC [G507T-16V3C],$1.349.900,https://www.solotodo.cl/products/266814-msi-geforce-rtx-5070-ti-16g-ventus-3x-oc-g507t-16v3c
ASUS PRIME-RTX5070TI-O16G,$1.359.997,https://www.solotodo.cl/products/266750-asus-prime-rtx5070ti-o16g
Gigabyte GeForce RTX 4070 Ti AERO OC 12G [GV-N407TAERO OC-12GD],$1.399.990,https://www.solotodo.cl/products/177243-gigabyte-geforce-rtx-4070-ti-aero-oc-12g-gv-n407taero-oc-12gd
MSI GeForce RTX 5070 Ti 16G GAMING TRIO OC PLUS [G507T-16GTCP],$1.398.950,https://www.solotodo.cl/products/266875-msi-geforce-rtx-5070-ti-16g-gaming-trio-oc-plus-g507t-16gtcp
ASUS TUF-RTX5070TI-O16G-GAMING,$1.479.997,https://www.solotodo.cl/products/266749-asus-tuf-rtx5070ti-o16g-gaming
Gigabyte AORUS RTX 3080 Ti MASTER 12G [GV-N308TAORUS M-12GD],$1.599.990,https://www.solotodo.cl/products/121270-gigabyte-aorus-rtx-3080-ti-master-12g-gv-n308taorus-m-12gd
MSI GeForce RTX 5080 16G INSPIRE 3X OC [G5080-16I3C],$1.689.990,https://www.solotodo.cl/products/266473-msi-geforce-rtx-5080-16g-inspire-3x-oc-g5080-16i3c
MSI GeForce RTX 5080 16G VENTUS 3X OC PLUS [G5080-16V3CP],$1.699.900,https://www.solotodo.cl/products/265355-msi-geforce-rtx-5080-16g-ventus-3x-oc-plus-g5080-16v3cp
MSI GeForce RTX 5080 16G VENTUS 3X OC WHITE [G5080-16V3CW],$1.745.990,https://www.solotodo.cl/products/267058-msi-geforce-rtx-5080-16g-ventus-3x-oc-white-g5080-16v3cw
Zotac GAMING GeForce RTX 5080 SOLID OC [ZT-B50800J-10P],$1.799.995,https://www.solotodo.cl/products/265351-zotac-gaming-geforce-rtx-5080-solid-oc-zt-b50800j-10p
MSI GeForce RTX 5080 16G GAMING TRIO OC [G5080-16GTC],$1.879.990,https://www.solotodo.cl/products/265733-msi-geforce-rtx-5080-16g-gaming-trio-oc-g5080-16gtc
ASUS TUF-RTX3080TI-O12G-GAMING,$1.925.900,https://www.solotodo.cl/products/116691-asus-tuf-rtx3080ti-o12g-gaming
MSI GeForce RTX 5080 16G SUPRIM SOC [G5080-16SPS],$1.999.990,https://www.solotodo.cl/products/266411-msi-geforce-rtx-5080-16g-suprim-soc-g5080-16sps
MSI GeForce RTX 5080 16G VANGUARD SOC LAUNCH EDITION [G5080-16VGSL],$1.999.995,https://www.solotodo.cl/products/265424-msi-geforce-rtx-5080-16g-vanguard-soc-launch-edition-g5080-16vgsl
Gigabyte AORUS GeForce RTX 5080 MASTER ICE 16G [GV-N5080AORUSM ICE-16GD],$2.099.000,https://www.solotodo.cl/products/266474-gigabyte-aorus-geforce-rtx-5080-master-ice-16g-gv-n5080aorusm-ice-16gd
